seed_id,seed_title,seed_genres,seed_tags,seed_description,candidate_id,candidate_title,candidate_genres,candidate_tags,candidate_description,candidate_source
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",119113,Attack on Titan ~Chronicle~,Action|Drama|Fantasy|Mystery,Kaiju|Post-Apocalyptic|Tragedy|Gore|Military|Steampunk|Shounen|Conspiracy|Anti-Hero|Super Power|Male Protagonist|Survival|Politics|Memory Manipulation|Espionage|Time Skip|Henshin|Kuudere|Medieval,Movie compiling the first 3 seasons of Shingeki no Kyojin.,thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",146984,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,Action|Drama|Fantasy|Mystery|Psychological,Tragedy|Survival|Kaiju|Terrorism|Super Power|Revenge|Military|Gore|Shapeshifting|Anti-Hero|Post-Apocalyptic|Dystopian|Foreign|Primarily Adult Cast|Ensemble Cast|Male Protagonist|Time Skip|CGI|Shounen|Female Protagonist|Class Struggle|Kuudere|Heterosexual|Suicide|Aviation|Ships|Tanned Skin|Matriarchy,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley. Now a motley crew of his former comrades and enemies scramble to halt his deadly mission, the only question is, can they stop him? (Source: Crunchyroll)",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",112151,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Action|Adventure|Drama|Fantasy|Mystery|Supernatural,Demons|Swordplay|Shounen|Tragedy|Trains|Curses|Male Protagonist|Body Horror|Super Power|Monster Girl|Primarily Teen Cast|Gore|CGI|Primarily Male Cast|Orphan|Travel|Suicide|Shapeshifting|Historical|Vampire|Rural|Martial Arts,"This Demon Slayer movie sees Tanjiro Kamado and friends from the Demon Slayer corps board the Infinity Train on a new mission to investigate a mysterious series of disappearances, perpetrated by a demon who has been tormenting people and killing the demon slayers who oppose it.",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",129874,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,Action|Adventure|Drama|Fantasy|Mystery|Supernatural,Demons|Swordplay|Shounen|Tragedy|Male Protagonist|Curses|Gore|Trains|Primarily Teen Cast|Body Horror|Primarily Male Cast|Monster Girl|Historical|Orphan|Suicide|Rural|Cannibalism|Travel|Tsundere,"In Demon Slayer: Kimetsu no Yaiba Mugen Train Arc, Tanjiro Kamado and his fellow Demon Slayer members embark on a mission aboard the Infinity Train. Their new mission is to investigate a series of mysterious disappearances, carried out by a demon that has been terrorizing passengers and killing the demon slayers who oppose it. Note: The first episode is entirely anime original. Episodes 2-7 are a re-edited version of the movie featuring new sc...",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",115230,Tower of God,Action|Adventure|Drama|Fantasy|Mystery,Super Power|Tragedy|Male Protagonist|Survival|Conspiracy|Magic|Ensemble Cast|Cultivation|Shounen|Battle Royale|Revenge|Coming of Age|Suicide|Swordplay|Death Game|Heterosexual|Travel|Primarily Male Cast,"There is a tower that summons chosen people called ""Regulars"" with the promise of granting their deepest desires. Whether it be wealth, fame, authority, or something that surpasses them all—everything awaits those who reach the top. Twenty-Fifth Bam is a boy who had only known a dark cave, a dirty cloth, and an unreachable light his entire life. So when a girl named Rachel came to him through the light, his entire world changed. Becoming close...",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",20829,Seraph of the End: Vampire Reign,Action|Drama|Fantasy|Mystery|Supernatural,Vampire|Post-Apocalyptic|Urban Fantasy|Male Protagonist|Shounen|Military|Time Skip|War|Demons|Revenge|Swordplay|Lost Civilization|Primarily Teen Cast|Pandemic|Tragedy|Coming of Age|School|Tsundere|Rotoscoping|Heterosexual|Gore|Boys' Love|Primarily Adult Cast,"The story takes place in a world where an unknown virus has killed the entire human population except for children under 13. Those children were then enslaved by vampires. The manga centers on Yuichiro Hyakuya, a human who dreams of becoming strong enough to kill all vampires. (Source: Anime News Network)",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",101972,The Founder of Diabolism,Action|Adventure|Drama|Fantasy|Mystery|Supernatural,Cultivation|Male Protagonist|Tragedy|Wuxia|Reincarnation|Demons|Primarily Male Cast|Necromancy|Anti-Hero|Revenge|Historical|Magic|War|Time Skip|Swordplay|Politics|Zombie|Foreign|Kuudere|Ensemble Cast|Found Family|Achronological Order|Boys' Love|Adoption|Gore|CGI|Torture|Archery|Slavery|Crime|Suicide,"The Wen Clan's rampage caused untold sufferings, and the other cultivation clans launched the ""Sunshot Campaign"" to join forces against the Wen Clan. Although Wei Wuxian, the Yiling Patriarch, had made great contributions to overthrowing the Wens, he was stigmatized and punished because he was considered too powerful and dangerous. He was persecuted by ten thousand people. Thirteen years later, Wei Wuxian has been brought back by a sacrificial...",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",131646,The Case Study of Vanitas,Action|Drama|Fantasy|Mystery|Supernatural,Vampire|Male Protagonist|Conspiracy|Foreign|Steampunk|Tragedy|Heterosexual|Primarily Adult Cast|Anti-Hero|Anachronism|Tsundere|Historical|Gore|Tanned Skin|Chibi|Religion|Shounen|Assassins|Surreal Comedy|Primarily Male Cast|LGBTQ+ Themes|Henshin|Coming of Age|Drugs|Adoption|Super Power,"It’s 19th-century Paris, and young vampire Noé hunts for the Book of Vanitas. Attacked by a vampire driven insane, a human intercedes, rescues Noé, and heals the sick creature. Commanding the book and calling himself Vanitas, this doctor tempts Noé with a mad crusade to “cure” the entire vampire race. Allying with one who wields arcane power so easily may be dangerous, but does he have a choice? (Source: Funimation)",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",145665,NieR:Automata Ver1.1a,Action|Drama|Fantasy|Mystery|Psychological|Sci-Fi,Artificial Intelligence|Robots|Tragedy|Post-Apocalyptic|Lost Civilization|Female Protagonist|Philosophy|Anthropomorphism|Aliens|Swordplay|CGI|Dystopian|War|Memory Manipulation|Real Robot|Proxy Battle|Heterosexual|Male Protagonist|Amnesia|Body Swapping|Puppetry|Gods|Desert|Military|Survival|Virtual World|Revenge|Fishing|Nudity,"The distant future, 5012. The sudden aerial invasion of Earth by ＜Aliens＞ and their creations ＜Machine Lifeforms＞led mankind to the brink of extinction. The surviving number of humans who took refuge on the moon to organize a counterattack using ＜android＞ soldiers to recapture Earth. However, the war reaches a stalemate as the ＜Machine Lifeforms＞ continue to multiply infinitely. In turn, humanity deploys anew unit of android soldiers as an ult...",thematic_overlap
16498,Attack on Titan,Action|Drama|Fantasy|Mystery,Kaiju|Revenge|Military|Tragedy|Primarily Teen Cast|Post-Apocalyptic|Male Protagonist|Super Power|Henshin|Gore|Memory Manipulation|Dystopian|Swordplay|Ensemble Cast|Steampunk|Survival|Vore|Orphan|Cannibalism|Espionage|Shounen|Time Skip|Amnesia|Coming of Age|Kuudere|Suicide|Rural|Medieval|Adoption|Primarily Male Cast,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a...",440,Revolutionary Girl Utena,Action|Drama|Fantasy|Mystery|Psychological|Romance,Coming of Age|Female Protagonist|Psychosexual|Philosophy|Fairy Tale|Incest|Ensemble Cast|Tomboy|Yuri|Swordplay|Primarily Teen Cast|Tragedy|LGBTQ+ Themes|Bisexual|Witch|Time Manipulation|Orphan|Age Gap|Rape|Surreal Comedy|Cars|School|Unrequited Love|Conspiracy|Memory Manipulation|Fencing|Henshin|Ojou-sama|Meta|Boarding School|Love Triangle|Crossdressing|Episodic|Magic|Bullying|Kuudere|Cheating|Shoujo|Time Loop|Denpa|Twins|Astronomy|Suicide|Athletics|Boys' Love|Politics|Aliens|Body Swapping,"Just after Utena's parents died, she was consoled by a prince who gave her a ring with a rose crest on it. Utena was so impressed by the Prince that she vowed to become one herself one day. A few years later, Utena is attending Ohtori Academy where she gives all the teachers headaches because she dresses in a boy's uniform so she can be like the prince she met long ago. After Utena's friend is insulted by a member of the Student Council, Utena...",thematic_overlap
